cd_clean,female,age_bin,educ_bin,race_bin,population
AL-06,0,45-64,no_college,black,5937
AL-06,0,45-64,no_college,hispanic,1584
AL-06,0,45-64,no_college,other,1286
AL-06,0,45-64,some_college,white,17859
AL-06,0,45-64,some_college,black,5087
AL-06,0,45-64,some_college,hispanic,1357
AL-06,0,45-64,some_college,other,1102
AL-06,0,45-64,college_plus,white,24548
AL-06,0,45-64,college_plus,black,6992
AL-06,0,45-64,college_plus,hispanic,1865
AL-06,0,45-64,college_plus,other,1514
AL-06,0,65+,no_college,white,11766
AL-06,0,65+,no_college,black,3351
AL-06,0,65+,no_college,hispanic,894
AL-06,0,65+,no_college,other,726
AL-06,0,65+,some_college,white,10081
AL-06,0,65+,some_college,black,2871
AL-06,0,65+,some_college,hispanic,766
AL-06,0,65+,some_college,other,622
AL-06,0,65+,college_plus,white,13856
AL-06,0,65+,college_plus,black,3947
AL-06,0,65+,college_plus,hispanic,1053
AL-06,0,65+,college_plus,other,855
AL-06,1,18-29,no_college,white,11552
AL-06,1,18-29,no_college,black,3290
AL-06,1,18-29,no_college,hispanic,878
AL-06,1,18-29,no_college,other,713
AL-06,1,18-29,some_college,white,9898
AL-06,1,18-29,some_college,black,2819
AL-06,1,18-29,some_college,hispanic,752
AL-06,1,18-29,some_college,other,610
AL-06,1,18-29,college_plus,white,13605
AL-06,1,18-29,college_plus,black,3875
AL-06,1,18-29,college_plus,hispanic,1034
AL-06,1,18-29,college_plus,other,839
AL-06,1,30-44,no_college,white,17060
AL-06,1,30-44,no_college,black,4859
AL-06,1,30-44,no_college,hispanic,1296
AL-06,1,30-44,no_college,other,1052
AL-06,1,30-44,some_college,white,14617
AL-06,1,30-44,some_college,black,4163
AL-06,1,30-44,some_college,hispanic,1111
AL-06,1,30-44,some_college,other,902
AL-06,1,30-44,college_plus,white,20092
AL-06,1,30-44,college_plus,black,5723
AL-06,1,30-44,college_plus,hispanic,1526
AL-06,1,30-44,college_plus,other,1239
AL-06,1,45-64,no_college,white,21786
AL-06,1,45-64,no_college,black,6205
AL-06,1,45-64,no_college,hispanic,1655
AL-06,1,45-64,no_college,other,1344
AL-06,1,45-64,some_college,white,18666
AL-06,1,45-64,some_college,black,5317
AL-06,1,45-64,some_college,hispanic,1418
AL-06,1,45-64,some_college,other,1151
AL-06,1,45-64,college_plus,white,25658
AL-06,1,45-64,college_plus,black,7308
AL-06,1,45-64,college_plus,hispanic,1949
AL-06,1,45-64,college_plus,other,1583
AL-06,1,65+,no_college,white,15228
AL-06,1,65+,no_college,black,4337
AL-06,1,65+,no_college,hispanic,1157
AL-06,1,65+,no_college,other,939
AL-06,1,65+,some_college,white,13047
AL-06,1,65+,some_college,black,3716
AL-06,1,65+,some_college,hispanic,991
AL-06,1,65+,some_college,other,805
AL-06,1,65+,college_plus,white,17934
AL-06,1,65+,college_plus,black,5108
AL-06,1,65+,college_plus,hispanic,1363
AL-06,1,65+,college_plus,other,1106
